"","hcode","DDlatJitter","DDlongJitter","disltyr","buycow","cotton","trans1yr","drkmix","buffevr","Div","Ccode","cluster","vc.herds","weight.h","entries"
"137",143,7.348579884,13.35289955,1,1,0,1,1,0,"VINA","VMU",53,106,17.66666667,6
"138",144,7.463351445,13.30913694,0,0,0,0,0,0,"VINA","VMU",53,106,17.66666667,6
"139",145,7.502729893,13.26679993,1,1,1,0,1,1,"VINA","VMU",54,106,17.66666667,6
"140",146,7.481616139,13.30690581,0,0,1,0,0,0,"VINA","VMU",54,106,17.66666667,6
"141",149,7.363820076,13.93159962,0,0,1,0,NA,0,"VINA","VGH",49,103,17.16666667,6
"142",150,7.463500023,13.66749954,1,0,0,1,1,1,"VINA","VMB",48,159,53,3
"143",147,7.519805953,13.44773247,0,0,0,0,1,0,"VINA","VMU",53,106,17.66666667,6
"144",148,7.010000229,13.4666996,1,1,0,0,1,1,"VINA","VMM",29,55,18.33333333,3
"145",151,7.489850044,13.69729996,1,0,0,0,1,0,"VINA","VMB",48,159,53,3
"146",152,7.289080143,13.30309963,0,1,1,0,1,0,"VINA","VBM",46,240,40,6
"147",153,7.338119984,13.42959976,1,1,1,0,1,0,"VINA","VBM",47,240,40,6
